link_id,init_node,term_node,travel_time,electricity_consumption
0,1,2,3.90620389,0.510912571
1,1,62,5.437746625,0.509534771
2,2,3,2.345402299,0.219881523
3,2,65,1.761904762,0.163255129
4,3,4,1.416666667,0.098837859
5,3,66,3.471333333,0.372024587
6,4,5,2.457843137,0.316301163
7,4,67,3.958623188,0.390741745
8,5,6,2.364480874,0.223657463
10,6,7,2.416666667,0.294896522
11,6,69,2.694940476,0.229411843
12,7,8,1.536458333,0.223186685
13,7,70,4.282142857,0.239227722
14,8,9,1.820512821,0.250640896
16,8,74,2.19047619,0.244406035
17,9,10,1.368421053,0.318204994
18,9,34,2.731707317,0.42033187
19,9,11,3.401201201,0.566873026
20,10,11,3.652072539,0.709216464
21,11,12,6.49662037,0.716713246
22,12,13,2.921333333,0.4686595
23,12,37,10.42521368,0.218813009
24,13,14,2.861111111,0.429840626
25,13,38,2.75,0.33
26,14,15,2.443859649,0.322090963
27,14,39,1.666666667,0.175820436
28,15,16,5.543010753,1.308604193
29,16,17,3.339784946,1.237016515
30,16,40,2.916666667,0.391968728
31,16,42,3.310666667,0.513512914
33,17,42,8.696938776,0.519322841
35,19,20,1.333333333,0.228333333
36,19,43,4.421666667,0.369870697
37,20,21,2.5,0.357142857
38,20,45,4.664303483,0.488137925
39,21,22,2.617283951,0.234699391
40,21,49,3.598484848,0.435524108
41,22,23,1.560606061,0.454320788
42,22,51,1.927777778,0.268163979
43,23,24,1.75962963,0.411498725
44,24,25,2.478763441,0.59668339
45,24,52,2.5,0.246918111
46,25,26,2.72449187,0.504370172
47,25,53,1.857487923,0.423745032
48,26,27,2.619238095,0.530382704
49,26,54,2.291139241,0.224360448
50,27,28,2.19348659,0.379733731
51,27,55,3.856043956,0.476197795
52,28,29,2.450559284,0.436519346
53,28,56,3.322852234,0.330244391
54,29,30,3.172188139,0.564752096
55,29,57,3.105482456,0.313927775
56,30,31,7.636393229,0.549468819
57,30,58,2.611111111,0.329388994
58,31,32,3.226075269,0.461945451
59,31,59,3.064220183,0.292162096
60,32,33,7.551113861,0.676127284
61,32,60,7.122764228,0.790142447
62,33,1,3.533333333,0.285758965
63,33,61,3.596974697,0.293334499
64,34,35,1.946502058,0.212594775
65,35,36,5.281313131,0.307737277
66,35,75,2.91969697,0.210089057
67,36,37,5.412847222,0.590049684
68,36,99,2.890336134,0.269682607
69,36,95,3.083333333,0.210808525
70,37,38,5.322576832,0.425836866
71,38,39,5.491851852,0.575903909
