link_id,init_node,term_node,travel_time,electricity_consumption
0,1,2,3.433491204,0.532513078
1,1,62,4.16940874,0.48554348
2,1,33,2.962477718,0.309352177
3,2,3,1.961538462,0.236773795
4,2,65,1.696969697,0.175489086
5,2,1,3.433491204,0.532513078
6,3,4,2.166666667,0.135416667
7,3,66,3.746276596,0.499416881
8,3,2,1.961538462,0.236773795
9,4,5,2.114864865,0.330595894
10,4,67,3.709538462,0.411171466
11,4,3,2.166666667,0.135416667
12,5,6,2.381578947,0.28450671
13,5,4,2.114864865,0.330595894
14,6,7,2.114427861,0.320256455
15,6,69,2.339223058,0.239393278
16,6,5,2.381578947,0.28450671
17,7,8,1.833333333,0.275831351
18,7,70,4.150666667,0.264566788
19,7,6,2.114427861,0.320256455
20,8,9,1.725,0.272976176
21,8,73,1.666666667,0.3125
22,8,74,1.904761905,0.197708693
23,8,7,1.833333333,0.275831351
24,9,10,1.196969697,0.252374961
25,9,34,1.956521739,0.235296457
26,9,11,2.820502092,0.491449127
27,9,8,1.725,0.272976176
28,10,11,3.079812207,0.570797715
29,10,9,1.196969697,0.252374961
30,11,12,5.036908078,0.682490922
31,11,9,2.820502092,0.491449127
32,11,10,3.079812207,0.570797715
33,12,13,2.821882952,0.507872909
34,12,37,9.621014493,0.395157102
35,12,11,5.036908078,0.682490922
36,13,14,2.087037037,0.388983777
37,13,38,1.75,0.170020121
38,13,12,2.821882952,0.507872909
39,14,15,2.847183099,0.33582177
40,14,39,2.8,0.204412293
41,14,13,2.087037037,0.388983777
42,15,16,3.619345238,1.363007449
43,15,14,2.847183099,0.33582177
44,16,17,3.688095238,1.253262306
45,16,40,1.476190476,0.225272397
46,16,42,3.875773196,0.607574063
47,16,15,3.619345238,1.363007449
48,17,42,5.600241546,0.456926397
49,17,16,3.688095238,1.253262306
50,19,20,2.583333333,0.210024913
51,19,43,3.172043011,0.352430629
52,20,45,4.267379679,0.57427798
53,20,19,2.583333333,0.210024913
54,21,22,5.52,0.361902118
55,21,49,2.919806763,0.444270673
56,22,23,1.585858586,0.474623508
57,22,51,2.037037037,0.317820973
58,22,21,5.52,0.361902118
59,23,24,1.673684211,0.464568661
60,23,22,1.585858586,0.474623508
61,24,25,2.483179724,0.625803647
62,24,52,2.696969697,0.429533974
63,24,23,1.673684211,0.464568661
64,25,26,2.22985782,0.534944221
65,25,53,1.722222222,0.404041811
66,25,24,2.483179724,0.625803647
67,26,27,2.315307582,0.582750006
68,26,54,2.70923913,0.28410535
69,26,25,2.22985782,0.534944221
70,27,28,1.560367454,0.406456873
71,27,55,3.765811966,0.520074728
72,27,26,2.315307582,0.582750006
73,28,29,1.84707113,0.432311187
74,28,56,3.088075881,0.345219128
75,28,27,1.560367454,0.406456873
76,29,30,2.780193237,0.65339331
77,29,57,2.493971631,0.331225783
78,29,28,1.84707113,0.432311187
79,30,31,5.256278027,0.556293736
80,30,58,1.990196078,0.263052424
81,30,29,2.780193237,0.65339331
82,31,32,3.071101574,0.544545763
83,31,59,2.76528777,0.321099942
84,31,30,5.256278027,0.556293736
85,32,33,6.758825283,0.833190115
86,32,60,6.285716166,0.82617209
87,32,31,3.071101574,0.544545763
88,33,1,2.962477718,0.309352177
89,33,61,8.442962357,0.493005193
90,33,32,6.758825283,0.833190115
91,34,35,1.9765625,0.266271671
92,34,9,1.956521739,0.235296457
93,35,36,12.69587585,0.58275203
94,35,75,6.074166667,0.573358445
95,35,34,1.9765625,0.266271671
96,36,37,5.194729345,0.624741767
97,36,99,2.90818399,0.30429678
98,36,95,2.146078431,0.211710645
99,36,35,12.69587585,0.58275203
100,37,38,4.513985702,0.408455222
101,37,12,9.621014493,0.395157102
102,37,36,5.194729345,0.624741767
103,38,39,4.380314961,0.550834344
